Year,Team,League,G,RegWPct,PostSeason,W,WPct,AB,R,H,x2B,x3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
2012,Milwaukee Brewers,NL,34,0.512,0,15,0.469,1161,180,318,69,12,39,171,99,240,29,19,0.274,0.34,0.455,0.794
2012,Cincinnati Reds,NL,33,0.599,1,15,0.469,1147,164,314,77,7,27,155,80,272,31,8,0.274,0.326,0.424,0.749
2012,Pittsburgh Pirates,NL,31,0.488,0,9,0.31,1081,143,295,53,6,31,131,63,233,27,12,0.273,0.318,0.419,0.737
2012,San Francisco Giants,NL,36,0.58,1,18,0.545,1233,163,336,74,8,35,150,88,224,38,20,0.273,0.322,0.431,0.752
2012,New York Yankees,AL,33,0.586,1,18,0.6,1137,166,302,79,4,23,157,107,255,35,13,0.266,0.335,0.403,0.737
2012,Arizona Diamondbacks,NL,35,0.5,0,15,0.455,1183,157,313,60,14,36,144,120,251,18,11,0.265,0.339,0.43,0.769
2012,Houston Astros,NL,32,0.34,0,14,0.452,1076,146,271,58,8,29,134,94,224,22,7,0.252,0.313,0.401,0.714
2012,Washington Nationals,NL,32,0.605,1,12,0.414,1078,123,269,47,2,28,112,96,245,9,6,0.25,0.313,0.375,0.688
2012,Cleveland Indians,AL,32,0.42,0,7,0.241,1081,133,267,61,3,25,127,113,225,14,12,0.247,0.324,0.378,0.702
2012,Miami Marlins,NL,29,0.426,0,11,0.44,960,85,237,50,5,16,74,73,195,23,8,0.247,0.308,0.359,0.667
2012,Atlanta Braves,NL,33,0.58,1,10,0.357,1087,125,264,45,10,28,116,95,205,13,13,0.243,0.309,0.38,0.689
